 Token    Address
-------  ---------
  50        -1
   1         0
  10        -1
  36        -1
   9        -1
  50        -1
   1         1
  10        -1
  36        -1
   9        -1
  50        -1
   1         2
  10        -1
  36        -1
   9        -1
  47        -1
   1         0
   9        -1
  47        -1
   1         1
   9        -1
  47        -1
   1         2
   9        -1
  50        -1
   1         3
  10        -1
  36        -1
  16        -1
   1         0
   9        -1
  44        -1
   7        -1
   1         1
  18        -1
   1         3
   8        -1
   5        -1
   1         3
  16        -1
   1         1
   9        -1
   6        -1
  44        -1
   7        -1
   1         2
  20        -1
   1         3
   8        -1
   5        -1
   1         3
  16        -1
   1         2
   9        -1
   6        -1
  48        -1
   1         3
   9        -1
