 Token    Address
-------  ---------
  50        -1
   1         0
  10        -1
  43        -1
  21        -1
  36        -1
  20        -1
   9        -1
  50        -1
   1         1
  10        -1
  36        -1
   9        -1
  47        -1
   1         1
   9        -1
  40        -1
   1         2
  51        -1
  41        -1
   7        -1
   1         1
   8        -1
   5        -1
  47        -1
   1         0
   3        -1
   1         2
   4        -1
   9        -1
   6        -1
  50        -1
   1         3
  10        -1
  36        -1
  16        -1
   2         4
   9        -1
  42        -1
   7        -1
   1         1
   8        -1
   5        -1
  15        -1
   1         1
   9        -1
   1         3
  27        -1
   1         0
   3        -1
   1         1
   4        -1
   9        -1
   6        -1
  48        -1
   1         3
   9        -1
